iteration,ranker,candidate_rank,selected,left_index,right_index,base_airport,left_signature,right_signature,left_load,right_load,left_services,right_services,same_cluster_fraction,minimum_distance_km,airport_profile_gap_km,fuel_signature_gap,distance_relatedness,consensus_relatedness,airport_relatedness,fuel_relatedness,capacity_relatedness,static_relatedness_score,context_capacity_score,context_stop_score,context_airport_score,context_relatedness_score,combined_candidate_score,outcome,route_evaluations,technical_stop_searches,augmentation_cache_hits,lower_bound_pruned,augmentation_infeasible,saving_minutes,accepted,evaluated_elapsed_seconds,accepted_elapsed_seconds
0,static_selected_distance_context,1,True,99,103,A03,A03|F047|5|P0040+P1063+P1231+P2315+P2850,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,5,14,F047,F049,0.0,19.0,2.6666666666666665,,0.9864150943396226,1.0,0.9984905660377359,0.9864150943396226,0.6722641509433962,0.9864150943396226,1.0,0.75,1.0,0.875,0.9307075471698113,improving_not_selected,2,2,0,0,0,142,False,3.4287235000010696,
0,static_selected_distance_context,2,True,54,62,A02,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,A02|F029|12|P0226+P1827+P1956+P2101+P2590+P2617+P2683+P2796+P2810+P3402+P3626+P3741,7,12,F025,F029,0.0,24.0,12.666666666666666,,0.9739622641509434,0.8398196483967807,0.9226415094339623,0.9864150943396226,0.5615094339622642,0.9739622641509434,1.0,0.75,1.0,0.875,0.9244811320754718,improving_not_selected,2,2,0,0,0,117,False,2.6418521000014152,
0,static_selected_distance_context,3,True,27,29,A01,A01|F014|12|P0061+P0303+P0849+P1095+P1163+P1235+P1805+P1853+P1902+P2120+P2969+P3614,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F014,F015,0.0,27.0,26.666666666666668,,0.9633962264150944,1.0,0.7090566037735849,0.659622641509434,0.4420754716981132,0.9633962264150944,1.0,0.75,1.0,0.875,0.9191981132075472,improving_not_selected,2,2,0,0,0,74,False,1.9906312999955844,
0,static_selected_distance_context,4,True,86,90,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F043|14|P0095+P0132+P0520+P0588+P0601+P0778+P0848+P0965+P1050+P1171+P1294+P2636+P3023+P3270,5,14,F041,F043,0.0,28.0,23.0,,0.9607547169811321,0.919016780894375,0.7615094339622641,0.9864150943396226,0.7460377358490566,0.9607547169811321,1.0,0.75,1.0,0.875,0.9178773584905661,improving_not_selected,2,2,0,0,0,151,False,3.020647299999837,
0,static_selected_distance_context,5,True,21,29,A01,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F011,F015,0.0,31.0,13.0,,0.9535849056603773,0.7043643178278647,0.9166037735849056,0.6988679245283018,0.6722641509433962,0.9535849056603773,1.0,0.75,1.0,0.875,0.9142924528301887,improving_not_selected,2,2,0,0,0,79,False,1.8575578999952995,
0,static_selected_distance_context,6,True,29,59,A01,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,A01|F028|12|P0241+P0272+P0289+P0320+P0490+P0559+P0600+P0634+P0700+P0953+P1113+P1179,7,12,F015,F028,0.0,32.0,27.666666666666668,,0.949811320754717,0.7043643178278647,0.6890566037735849,0.5279245283018867,0.4420754716981132,0.949811320754717,1.0,0.75,1.0,0.875,0.9124056603773585,improving_not_selected,2,2,0,0,0,92,False,2.2374779999954626,
0,static_selected_distance_context,7,True,9,29,A01,A01|F005|11|P0177+P0622+P0879+P0978+P1006+P1078+P1307+P1710+P1910+P3403+P3882,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,11,7,F005,F015,0.0,25.0,4.0,,0.9694339622641509,0.7843564518281836,0.9909433962264151,0.9864150943396226,0.5615094339622642,0.9694339622641509,0.9473684210526315,0.75,1.0,0.8486842105263157,0.9090590863952333,improving_not_selected,2,2,0,0,0,81,False,0.9434882999994443,
0,static_selected_distance_context,8,True,67,74,A02,A02|F032|14|P0099+P0379+P0390+P0422+P0546+P0616+P0618+P0738+P1254+P1300+P1681+P2097+P2351+P3385,A02|F035|5|P0115+P3360+P3552+P3652+P3844,14,5,F032,F035,0.0,35.0,17.333333333333332,,0.9369811320754717,1.0,0.8456603773584905,0.9864150943396226,0.7460377358490566,0.9369811320754717,1.0,0.75,1.0,0.875,0.9059905660377359,improving_not_selected,2,2,0,0,0,138,False,2.9127808999983245,
0,static_selected_distance_context,9,True,3,7,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F004|11|P0146+P0632+P0908+P1052+P1216+P1264+P1553+P2173+P2793+P3113+P3938,7,11,F002,F004,0.0,33.0,21.333333333333332,,0.9460377358490566,1.0,0.7860377358490566,0.5279245283018867,0.6722641509433962,0.9460377358490566,0.9473684210526315,0.75,1.0,0.8486842105263157,0.8973609731876862,improving_not_selected,2,2,0,0,0,103,False,0.407392199995229,
0,static_selected_distance_context,10,True,52,54,A02,A02|F024|12|P0213+P0307+P0433+P0499+P0729+P1905+P2195+P2535+P2572+P3190+P3603+P3872,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,12,7,F024,F025,0.0,39.0,15.666666666666666,,0.919245283018868,0.8398196483967807,0.8758490566037735,0.6003773584905661,0.7460377358490566,0.919245283018868,1.0,0.75,1.0,0.875,0.897122641509434,improving_not_selected,2,2,0,0,0,98,False,2.5055817999964347,
0,static_selected_distance_context,11,True,0,37,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F019|13|P0045+P0134+P0344+P0493+P0572+P0946+P1099+P1101+P1160+P1164+P1284+P1345+P1500,4,13,F001,F019,0.0,25.0,17.333333333333332,,0.9694339622641509,0.8643391615585597,0.8456603773584905,0.9328301886792453,0.4420754716981132,0.9694339622641509,0.8947368421052632,0.75,1.0,0.8223684210526316,0.8959011916583912,improving_not_selected,2,2,0,0,0,127,False,0.30437800000072457,
0,static_selected_distance_context,12,True,11,15,A01,A01|F006|16|P0042+P0044+P0089+P0113+P0151+P0158+P0186+P0240+P0244+P0267+P0393+P0718+P0863+P1394+P1611+P3271,A01|F008|3|P1310+P1334+P3410,16,3,F006,F008,0.0,41.0,16.333333333333332,,0.9109433962264151,0.8586958855927248,0.8626415094339622,0.7256603773584906,0.6722641509433962,0.9109433962264151,1.0,0.75,1.0,0.875,0.8929716981132075,improving_not_selected,2,2,0,0,0,112,False,1.120532099994307,
0,static_selected_distance_context,13,True,0,23,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F012|15|P0004+P0049+P0093+P0228+P0239+P0247+P0266+P0510+P0525+P0561+P0584+P0619+P2131+P2753+P3211,4,15,F001,F012,0.0,42.0,5.333333333333333,,0.9064150943396226,0.8509166882080255,0.9815094339622642,0.9328301886792453,0.5615094339622642,0.9064150943396226,1.0,0.75,1.0,0.875,0.8907075471698114,improving_not_selected,2,2,0,0,0,122,False,0.16373339999699965,
0,static_selected_distance_context,14,True,17,29,A01,A01|F009|11|P0086+P0252+P0860+P1085+P1610+P1743+P1763+P1949+P2163+P3118+P3137,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,11,7,F009,F015,0.0,38.0,21.333333333333332,,0.9233962264150943,0.7749136210952401,0.7860377358490566,0.6003773584905661,0.5615094339622642,0.9233962264150943,0.9473684210526315,0.75,1.0,0.8486842105263157,0.886040218470705,improving_not_selected,2,2,0,0,0,72,False,1.7137243999968632,
0,static_selected_distance_context,15,True,88,104,A03,A03|F042|10|P0294+P0455+P0617+P0638+P1203+P1767+P2093+P2521+P2730+P2984,A03|F050|8|P0166+P0540+P0643+P0865+P2330+P2972+P3627+P3730,10,8,F042,F050,0.0,40.0,36.333333333333336,,0.9158490566037736,1.0,0.5573584905660378,0.8784905660377358,0.2888679245283019,0.9158490566037736,0.9473684210526315,0.75,1.0,0.8486842105263157,0.8822666335650446,accepted,2,2,0,0,0,244,True,3.155007299996214,3.653264100001252
0,static_selected_distance_context,16,True,97,103,A03,A03|F046|1|P2863,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,1,14,F046,F049,0.0,17.0,11.333333333333334,,0.9916981132075472,1.0,0.9350943396226415,0.659622641509434,0.5169811320754717,0.9916981132075472,0.7894736842105263,0.75,1.0,0.7697368421052632,0.8807174776564052,improving_not_selected,4,4,0,0,0,146,False,3.330196999995678,
0,static_selected_distance_context,17,True,45,74,A02,A02|F021|13|P0008+P0124+P1195+P3158+P3305+P3313+P3406+P3544+P3734+P3749+P3809+P3877+P3895,A02|F035|5|P0115+P3360+P3552+P3652+P3844,13,5,F021,F035,0.0,41.0,40.333333333333336,,0.9109433962264151,0.7937898582911843,0.5094339622641509,0.35056603773584905,0.6722641509433962,0.9109433962264151,0.9473684210526315,0.75,1.0,0.8486842105263157,0.8798138033763654,improving_not_selected,2,2,0,0,0,117,False,2.3425145000001066,
0,static_selected_distance_context,18,True,15,19,A01,A01|F008|3|P1310+P1334+P3410,A01|F010|12|P0028+P0077+P0375+P0395+P0583+P0631+P0642+P0835+P1907+P2840+P3644+P3775,3,12,F008,F010,0.0,19.0,3.6666666666666665,,0.9864150943396226,0.9292451888601003,0.9932075471698113,0.9592452830188679,0.16943396226415092,0.9864150943396226,0.7894736842105263,0.75,1.0,0.7697368421052632,0.8780759682224428,improving_not_selected,4,4,0,0,0,131,False,1.346400899994478,
0,static_selected_distance_context,19,True,65,74,A02,A02|F031|13|P0188+P0221+P0470+P0845+P1206+P1443+P1467+P1512+P1534+P1772+P1859+P2248+P3041,A02|F035|5|P0115+P3360+P3552+P3652+P3844,13,5,F031,F035,0.0,42.0,19.333333333333332,,0.9064150943396226,1.0,0.8166037735849057,0.659622641509434,0.789622641509434,0.9064150943396226,0.9473684210526315,0.75,1.0,0.8486842105263157,0.8775496524329691,improving_not_selected,2,2,0,0,0,126,False,2.7863072999971337,
0,static_selected_distance_context,20,True,3,13,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F007|9|P0057+P0480+P0652+P0685+P0786+P0812+P1703+P1838+P2738,7,9,F002,F007,0.0,30.0,14.666666666666666,,0.9566037735849057,1.0,0.8883018867924528,0.9328301886792453,0.5615094339622642,0.9566037735849057,0.8421052631578947,0.75,1.0,0.7960526315789473,0.8763282025819266,improving_not_selected,4,4,0,0,0,122,False,0.5920738999993773,
0,static_selected_distance_context,21,True,99,109,A03,A03|F047|5|P0040+P1063+P1231+P2315+P2850,A03|F052|11|P0465+P1035+P2138+P2378+P3105+P3227+P3440+P3587+P3611+P3640+P3987,5,11,F047,F052,0.0,33.0,17.666666666666668,,0.9460377358490566,0.8643391615585597,0.8377358490566038,0.8350943396226416,0.5615094339622642,0.9460377358490566,0.8421052631578947,0.75,1.0,0.7960526315789473,0.871045183714002,improving_not_selected,4,4,0,0,0,162,False,3.6531806999992114,
0,static_selected_distance_context,22,True,8,15,A01,A01|F004|16|P2183+P2362+P2487+P2551+P2669+P2716+P3039+P3053+P3119+P3159+P3243+P3375+P3585+P3598+P3761+P3906,A01|F008|3|P1310+P1334+P3410,16,3,F004,F008,0.0,52.0,21.666666666666668,,0.8656603773584906,0.8586958855927248,0.780377358490566,0.6003773584905661,0.27433962264150946,0.8656603773584906,1.0,0.75,1.0,0.875,0.8703301886792453,improving_not_selected,2,2,0,0,0,98,False,0.8197140999982366,
0,static_selected_distance_context,23,True,3,19,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F010|12|P0028+P0077+P0375+P0395+P0583+P0631+P0642+P0835+P1907+P2840+P3644+P3775,7,12,F002,F010,0.0,56.0,3.3333333333333335,,0.8483018867924528,0.9294506967326246,0.9947169811320755,0.9328301886792453,0.5615094339622642,0.8483018867924528,1.0,0.75,1.0,0.875,0.8616509433962264,improving_not_selected,2,2,0,0,0,93,False,0.7034397999959765,
0,static_selected_distance_context,24,True,15,21,A01,A01|F008|3|P1310+P1334+P3410,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,3,12,F008,F011,0.0,33.0,22.0,,0.9460377358490566,0.6878741591535094,0.7754716981132075,0.42188679245283023,0.7460377358490566,0.9460377358490566,0.7894736842105263,0.75,1.0,0.7697368421052632,0.8578872889771598,improving_not_selected,4,4,0,0,0,113,False,1.5996587999979965,
0,static_selected_distance_context,25,True,29,33,A01,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,A01|F017|11|P0137+P0418+P0598+P1079+P1380+P1493+P1521+P1745+P2207+P2309+P2999,7,11,F015,F017,0.0,53.0,43.0,,0.860754716981132,0.854905755095559,0.4732075471698113,0.659622641509434,0.5615094339622642,0.860754716981132,0.9473684210526315,0.75,1.0,0.8486842105263157,0.8547194637537239,improving_not_selected,2,2,0,0,0,63,False,2.1140531999990344,
