experiment,status,implementation,seed,primary_seconds,secondary_seconds,candidate_sequences,candidate_variants,compatible_assignments,pool_hash,aircraft_time_minutes,dual_bound_minutes,restricted_mip_gap,runtime_seconds,passenger_time_minutes,flights,fuel_kg,seat_utilization,validator,notes
canonical-artifact-replay,PASS,main-integration,c37ea9b-q2-canonical,0,0,,,,,19736,,,,270734,107,152910.4,0.8182982554006456,PASS,Canonical artifact replayed and independently validated on main
fresh-a0-old-seed-195-105,GATE_FAIL,main-integration,c37ea9b-q1-15418,195,105,357,3116,23251,3ccc374360b9f227923b2fa68690b1291931276e050c19aece75a6c0eadbc882,20275,16292,0.1964488286066583,,261763,109,157594.0,0.768639197898519,PASS,Legal solve but worse than 19736 fresh-solve gate
old-code-current-environment,CONFIRMATION,c37ea9b-original,c37ea9b-q1-15418,195,105,357,3116,23251,3ccc374360b9f227923b2fa68690b1291931276e050c19aece75a6c0eadbc882,20275,16292,0.1964488286066583,,261763,109,157594.0,0.768639197898519,PASS,Exact match to integrated run proves no integration semantic drift
primary-only-300-0,GATE_FAIL,main-integration,c37ea9b-q1-15418,300,0,357,3116,23251,3ccc374360b9f227923b2fa68690b1291931276e050c19aece75a6c0eadbc882,20275,16292,0.1964488286066583,399.087732,261763,109,157594.0,0.768639197898519,PASS,Validated primary-only calibration; secondary status and gap are null; bound scope is restricted_master
primary-heavy-270-30,GATE_FAIL,main-integration,c37ea9b-q1-15418,270,30,357,3116,23251,3ccc374360b9f227923b2fa68690b1291931276e050c19aece75a6c0eadbc882,20275,16292,0.1964488286066583,316.202456,261763,109,157594.0,0.768639197898519,PASS,Validated primary-heavy calibration; no primary or secondary change; bound scope is restricted_master
q2-rmp-control,PASS,canonical-artifact,c37ea9b-q2-canonical,0,0,357,3116,23251,3ccc374360b9f227923b2fa68690b1291931276e050c19aece75a6c0eadbc882,19736,,,,270734,107,152910.4,0.8182982554006456,PASS,Strict lexicographic best of canonical A0 E1 E2; immutable source outputs/q2/baseline-19736
lns-geometry-seed0,PROMOTED,exact-local-milp,0,8,0,,,,,19482,,,119.139739,268942,106,151620.3,0.8304081751956572,PASS,12 strict-improvement neighborhoods; 8 accepted; one whole-route ejection; bound scope is restricted_local_master
lns-geometry-5-seed,ADOPT,exact-local-milp,0-4,8,0,,,,,19482,,,143.288355,268942,106,151620.3,0.8304081751956572,PASS,Best 19482 median 19495 worst 19620 population variance 2713.36; all five seeds improved 19736
long-columns-geometry-5-seed,ADOPT,local-3-5-stop,0-4,8,0,,,,,19143,,,164.089537,269218,103,148161.8,0.8449948404724206,PASS,Best 19143 median 19267 worst 19360 population variance 7040.56; all five seeds improved 19482
flow-ranking-ab,REJECT,flow-aware-ranking,0,8,0,,,,,19339,,,166.594019,268032,105,150909.9,0.8376002700793876,PASS,Same 24-sequence and 8-second local budgets; geometry control reached 19143; flow selected a 5-stop column but lost 196 primary minutes
heuristic-column-enrichment,REJECT,iterative-local-enrichment,0,8,0,,,,,19143,,,178.579,269218,103,148161.8,0.8449948404724206,PASS,Same final 24 columns and total 8-second MILP budget; tied static quality but was slower than 144.323 seconds
standard-alns-5-seed,ADOPT,adaptive-roulette-exact-repair,0-4,8,0,,,,,18906,,,133.641741,266308,103,146442.5,0.853703500006346,PASS,Best 18906 median 18991 worst 19031 population variance 2110.96; all five seeds improved 19143; strict acceptance and no SA
