accepted_moves,accepted_useful_repair_rate,accepted_useful_repairs,basin,best_aircraft_time,budget_policy,config,exact_evals_to_17218,exact_evaluated,flights,fuel,initial_aircraft_time,initial_flights,lns_runtime_seconds,ml_inference_seconds,ml_overhead_fraction,new_best_count,passenger_time,positive_candidate_rate,positive_candidates,repairs,run_id,runtime_seconds,seed,stop_reason,time_to_17218,utilization,validator_pass
10,0.23076923076923078,3,global_best,17218,exact,classical_geometry,0,2664,95,132473.9,17218,95,83.281983,0.0,0.0,0,254656,0.0045045045045045045,12,13,20260816-q2-final-ml-ab-exact-global_best-classical_geometry-s711,83.419189,711,exact_evaluation_budget,0.0,0.9270255505126912,True
11,0.14285714285714285,2,global_best,17218,exact,geometry_lr,0,2643,95,132479.7,17218,95,80.886694,0.587716,0.007265916938081311,1,254538,0.003026863412788498,8,14,20260816-q2-final-ml-ab-exact-global_best-geometry_lr-s711,82.134182,711,exact_evaluation_budget,0.0,0.9276894667174044,True
9,0.3076923076923077,4,global_best,17218,exact,geometry_lightgbm,0,2598,95,132473.9,17218,95,115.870597,0.857525,0.007400712710576609,0,254656,0.006158583525789068,16,13,20260816-q2-final-ml-ab-exact-global_best-geometry_lightgbm-s711,117.134055,711,exact_evaluation_budget,0.0,0.9270255505126912,True
12,0.15384615384615385,2,global_best,17218,exact,hybrid_lightgbm_safe,0,2568,95,132473.9,17218,95,82.725696,0.623146,0.007532677633803165,0,254656,0.003115264797507788,8,13,20260816-q2-final-ml-ab-exact-global_best-hybrid_lightgbm_safe-s711,84.001135,711,exact_evaluation_budget,0.0,0.9270255505126912,True
12,0.08333333333333333,1,global_best,17218,exact,classical_geometry,0,2503,95,132473.9,17218,95,60.363081,0.0,0.0,0,254656,0.0015980823012385138,4,12,20260816-q2-final-ml-ab-exact-global_best-classical_geometry-s712,60.578859,712,exact_evaluation_budget,0.0,0.9270255505126912,True
13,0.14285714285714285,2,global_best,17218,exact,geometry_lr,0,2662,95,132473.9,17218,95,121.894594,0.553496,0.004540775614708557,1,254619,0.003005259203606311,8,14,20260816-q2-final-ml-ab-exact-global_best-geometry_lr-s712,123.114702,712,exact_evaluation_budget,0.0,0.9268819689583684,True
13,0.23076923076923078,3,global_best,17218,exact,geometry_lightgbm,0,2609,95,132473.9,17218,95,78.981868,0.345905,0.004379549493562244,0,254656,0.0045994633959371405,12,13,20260816-q2-final-ml-ab-exact-global_best-geometry_lightgbm-s712,80.281207,712,exact_evaluation_budget,0.0,0.9270255505126912,True
13,0.07692307692307693,1,global_best,17218,exact,hybrid_lightgbm_safe,0,2559,95,132473.9,17218,95,90.156363,0.566018,0.006278181385821875,1,254646,0.0015631105900742479,4,13,20260816-q2-final-ml-ab-exact-global_best-hybrid_lightgbm_safe-s712,91.483869,712,exact_evaluation_budget,0.0,0.9269555107300947,True
10,0.3076923076923077,4,alternate_95,17231,exact,classical_geometry,,2682,95,132310.9,17231,95,54.888372,0.0,0.0,3,254768,0.005965697240865026,16,13,20260816-q2-final-ml-ab-exact-alternate_95-classical_geometry-s711,55.019224,711,exact_evaluation_budget,,0.92838371486756,True
10,0.2857142857142857,4,alternate_95,17231,exact,geometry_lr,,2570,95,132310.9,17231,95,90.899395,0.625356,0.006879649749043985,2,254777,0.0062256809338521405,16,14,20260816-q2-final-ml-ab-exact-alternate_95-geometry_lr-s711,92.155756,711,exact_evaluation_budget,,0.9286432407535136,True
