route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count,absorption_score,absorption_components,compatible_neighbor_count,neighbor_slack_sum,absorption_rank
91,219,T2,A03,28,F040|F044,2,0.8679039301310044,12|13|16,0,2.3333333333333335,12,16,0,28,1.0,0,0.840053763,"{""compatible_neighbors"": 0.978494623655914, ""geometry"": 0.978494623655914, ""land_flexibility"": 1.0, ""low_passengers"": 0.956989247311828, ""low_utilization"": 0.8494623655913979, ""neighbor_slack"": 0.4838709677419355, ""shared_facilities"": 0.6344086021505376, ""source_time"": 0.8387096774193549}",93,724.0,1
70,184,T2,A03,32,F038|F051,2,0.9980992844364938,16|15|16,0,0.3333333333333333,16,16,0,32,1.0,0,0.72983871,"{""compatible_neighbors"": 0.7526881720430108, ""geometry"": 0.7526881720430108, ""land_flexibility"": 0.989247311827957, ""low_passengers"": 0.8817204301075269, ""low_utilization"": 0.24731182795698925, ""neighbor_slack"": 0.7634408602150538, ""shared_facilities"": 0.8387096774193549, ""source_time"": 0.6129032258064516}",93,730.0,2
90,214,T2,A03,32,F045|F044|F041,3,0.9372047244094488,16|5|16|16,0,2.75,16,16,0,21,0.65625,11,0.72983871,"{""compatible_neighbors"": 0.967741935483871, ""geometry"": 0.967741935483871, ""land_flexibility"": 0.4086021505376344, ""low_passengers"": 0.935483870967742, ""low_utilization"": 0.6236559139784946, ""neighbor_slack"": 0.24731182795698925, ""shared_facilities"": 0.8924731182795699, ""source_time"": 0.7956989247311828}",93,720.0,3
78,215,T2,A01,32,F002|F011|F001,3,0.8340212264150944,16|2|13|16,0,4.25,16,16,0,20,0.625,12,0.712365591,"{""compatible_neighbors"": 0.8387096774193549, ""geometry"": 0.8387096774193549, ""land_flexibility"": 0.3763440860215054, ""low_passengers"": 0.9139784946236559, ""low_utilization"": 0.9032258064516129, ""neighbor_slack"": 0.15053763440860213, ""shared_facilities"": 0.8709677419354839, ""source_time"": 0.8064516129032258}",93,714.0,4
80,200,T3,A02,38,F023|F031,2,1.0,19|19|19,0,0,19,19,0,34,0.8947368421052632,4,0.705645161,"{""compatible_neighbors"": 0.8602150537634409, ""geometry"": 0.8602150537634409, ""land_flexibility"": 0.7419354838709677, ""low_passengers"": 0.6559139784946236, ""low_utilization"": 0.20430107526881724, ""neighbor_slack"": 0.978494623655914, ""shared_facilities"": 0.6236559139784946, ""source_time"": 0.7204301075268817}",93,731.0,5
79,182,T2,A02,32,F031|F052,2,0.9752697841726619,16|12|16,0,1.3333333333333333,16,16,0,28,0.875,4,0.697580645,"{""compatible_neighbors"": 0.8494623655913979, ""geometry"": 0.8494623655913979, ""land_flexibility"": 0.7204301075268817, ""low_passengers"": 0.9247311827956989, ""low_utilization"": 0.4408602150537635, ""neighbor_slack"": 0.6129032258064516, ""shared_facilities"": 0.6129032258064516, ""source_time"": 0.5698924731182795}",93,727.0,6
93,301,T3,A03,41,F037|F040|F042|F044,4,0.6826054972246371,9|18|4|12|18,1,6.8,9,18,14,19,0.4634146341463415,22,0.688172043,"{""compatible_neighbors"": 1.0, ""geometry"": 1.0, ""land_flexibility"": 0.12903225806451613, ""low_passengers"": 0.4516129032258065, ""low_utilization"": 0.978494623655914, ""neighbor_slack"": 0.010752688172043001, ""shared_facilities"": 0.935483870967742, ""source_time"": 1.0}",93,697.0,7
36,182,T2,A03,24,F045|F038,2,0.7314981949458483,15|7|9,1,5.666666666666667,15,9,0,24,1.0,0,0.655913978,"{""compatible_neighbors"": 0.3870967741935484, ""geometry"": 0.3870967741935484, ""land_flexibility"": 0.9032258064516129, ""low_passengers"": 1.0, ""low_utilization"": 0.956989247311828, ""neighbor_slack"": 0.13978494623655913, ""shared_facilities"": 0.9139784946236559, ""source_time"": 0.5591397849462365}",93,714.0,8
72,195,T2,A03,32,F038|F048|F046,3,0.9536790780141844,16|12|9|16,0,2.75,16,16,0,20,0.625,12,0.654569892,"{""compatible_neighbors"": 0.7741935483870968, ""geometry"": 0.7741935483870968, ""land_flexibility"": 0.3655913978494624, ""low_passengers"": 0.9032258064516129, ""low_utilization"": 0.5483870967741935, ""neighbor_slack"": 0.23655913978494625, ""shared_facilities"": 0.946236559139785, ""source_time"": 0.6881720430107527}",93,720.0,9
58,207,T2,A01,32,F007|F013|F010,3,0.8690580985915493,16|6|6|6|16,0,6,16,16,0,29,0.90625,3,0.647849462,"{""compatible_neighbors"": 0.6236559139784946, ""geometry"": 0.6236559139784946, ""land_flexibility"": 0.7526881720430108, ""low_passengers"": 0.8709677419354839, ""low_utilization"": 0.8279569892473118, ""neighbor_slack"": 0.021505376344086002, ""shared_facilities"": 0.6989247311827957, ""source_time"": 0.7634408602150538}",93,701.0,10
