route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count
0,126,T1,A02,24,F024,1,1.0,12|12,0,0,12,12,0,14,0.5833333333333334,10
1,166,T2,A02,32,F011|F028,2,0.9898167006109979,16|12|16,0,1.3333333333333333,16,16,0,25,0.78125,7
2,133,T3,A01,44,F014|F017,2,0.9605633802816902,19|12|19,0,2.3333333333333335,19,19,6,34,0.7727272727272727,10
3,144,T3,A01,38,F029,1,1.0,19|19,0,0,19,19,0,38,1.0,0
4,148,T3,A01,34,F010,1,0.8947368421052632,15|19,0,2,15,19,0,34,1.0,0
5,197,T3,A01,38,F024|F035,2,0.9315589353612167,19|7|19,0,4,19,19,0,38,1.0,0
6,150,T3,A01,30,F001,1,0.7894736842105263,12|18,1,4,12,18,0,25,0.8333333333333334,5
7,118,T2,A01,39,F017|F014,2,0.9397887323943662,16|7|16,0,3,16,16,7,26,0.6666666666666666,13
8,146,T3,A01,49,F017|F014|F030,3,0.9817311874728143,19|19|10|19,0,2.25,19,19,11,33,0.673469387755102,16
9,148,T3,A01,25,F028,1,0.6578947368421053,6|19,0,6.5,6,19,0,25,1.0,0
10,162,T2,A01,48,F028|F018,2,1.0,16|16|16,0,0,16,16,16,32,0.6666666666666666,16
11,162,T3,A02,37,F049,1,0.9736842105263158,18|19,0,0.5,18,19,0,37,1.0,0
12,173,T3,A01,54,F007|F002,2,0.993421052631579,19|17|19,0,0.6666666666666666,19,19,16,27,0.5,27
13,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
14,154,T3,A01,56,F030|F026,2,0.9926240780097512,19|18|19,0,0.3333333333333333,19,19,18,38,0.6785714285714286,18
15,163,T3,A02,47,F018|F026,2,0.94900949478373,18|19|18,0,0.6666666666666666,18,18,11,18,0.3829787234042553,29
16,166,T3,A02,38,F026|F030,2,0.905491990846682,19|5|19,0,4.666666666666667,19,19,0,29,0.7631578947368421,9
17,199,T2,A03,32,F038|F043,2,0.9741693679092382,16|11|16,0,1.6666666666666667,16,16,0,26,0.8125,6
18,169,T3,A01,53,F026|F033,2,0.9960469844138242,19|18|19,0,0.3333333333333333,19,19,15,38,0.7169811320754716,15
19,187,T3,A01,35,F034,1,0.9212121212121213,18|18|17,1,1.3333333333333333,18,17,0,35,1.0,0
20,193,T3,A02,38,F034,1,1.0,19|19|19,0,0,19,19,0,31,0.8157894736842105,7
21,173,T3,A02,49,F019|F033,2,0.8949565981760246,19|19|15,0,1.3333333333333333,19,15,15,25,0.5102040816326531,24
22,171,T3,A01,57,F003|F007,2,1.0,19|19|19,0,0,19,19,19,34,0.5964912280701754,23
23,276,T3,A03,54,F042|F040,2,0.9754954187087151,19|19|18|18,0,0.5,19,18,17,28,0.5185185185185185,26
24,148,T3,A01,38,F002,1,1.0,19|19,0,0,19,19,0,38,1.0,0
25,169,T3,A01,48,F004|F007,2,0.7631578947368421,19|19|10,0,3,19,10,19,19,0.3958333333333333,29
26,129,T2,A01,32,F018|F016,2,0.9811230964467005,16|9|16,0,2.3333333333333335,16,16,0,31,0.96875,1
27,142,T3,A01,38,F012,1,1.0,19|19,0,0,19,19,0,34,0.8947368421052632,4
28,179,T2,A02,40,F036|F031|F046,3,0.9210396039603961,16|12|14|14,0,2,16,14,10,29,0.725,11
29,102,T2,A01,32,F009,1,1.0,16|16,0,0,16,16,0,32,1.0,0
30,156,T3,A01,48,F014|F005|F017,3,0.9324071600320598,19|19|14|17,0,1.75,19,17,12,29,0.6041666666666666,19
31,129,T2,A01,46,F016|F005,2,0.9921085858585859,16|14|16,0,0.6666666666666666,16,16,14,30,0.6521739130434783,16
32,152,T3,A01,27,F005|F012,2,0.687753036437247,12|2|15,4,9.333333333333334,12,15,0,23,0.8518518518518519,4
33,194,T2,A03,46,F049|F048|F038,3,0.9828321364452424,16|15|9|16,0,2,16,16,14,26,0.5652173913043478,20
34,130,T2,A01,39,F015|F009,2,0.8243670886075949,16|13|10,0,3,16,10,13,23,0.5897435897435898,16
35,158,T3,A01,52,F012|F015,2,1.0,19|19|19,0,0,19,19,14,27,0.5192307692307693,25
36,182,T2,A03,24,F045|F038,2,0.7314981949458483,15|7|9,1,5.666666666666667,15,9,0,24,1.0,0
37,184,T2,A03,47,F051|F038,2,0.9980992844364938,16|15|16,0,0.3333333333333333,16,16,15,26,0.5531914893617021,21
38,195,T2,A03,45,F045|F048,2,0.9839857651245552,16|13|13|16,0,1.5,16,16,13,31,0.6888888888888889,14
39,220,T3,A03,49,F039|F052,2,0.9290455267832103,19|16|16|17,0,2,19,17,13,31,0.6326530612244898,18
40,230,T3,A03,74,F039|F048|F038|F045,4,0.9454017606293313,19|19|0|19|18,0,4,19,18,37,28,0.3783783783783784,46
41,263,T3,A03,48,F044|F037,2,0.945998558038933,18|11|19,0,3,18,19,11,36,0.75,12
42,288,T3,A03,38,F050|F042,2,0.9818288013498605,19|12|19,0,2.3333333333333335,19,19,0,27,0.7105263157894737,11
43,190,T2,A02,32,F025|F035|F031,3,0.9289981617647058,16|14|4|16,0,3.5,16,16,0,25,0.78125,7
44,276,T3,A03,33,F050,1,0.868421052631579,15|18,1,2.5,15,18,0,22,0.6666666666666666,11
45,288,T2,A03,45,F044|F050|F043,3,0.839049338146811,15|0|16|16|15,0,3.6,15,15,15,22,0.4888888888888889,23
46,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
47,160,T3,A02,38,F019|F022,2,0.9838148903009232,19|10|19,0,3,19,19,0,15,0.39473684210526316,23
48,184,T3,A02,46,F022|F033|F020,3,0.8556453374099148,19|19|2|17,0,4.75,19,17,10,28,0.6086956521739131,18
49,104,T2,A01,32,F020,1,1.0,16|16,0,0,16,16,0,32,1.0,0
50,104,T2,A01,32,F020,1,1.0,16|16,0,0,16,16,0,32,1.0,0
51,151,T3,A01,49,F020|F019,2,0.907798693814829,15|18|19,0,1.6666666666666667,15,19,15,34,0.6938775510204082,15
52,232,T3,A03,73,F052|F048|F039,3,0.9902361911846754,19|17|18|18|19,0,0.8,19,19,35,34,0.4657534246575342,39
53,148,T3,A01,35,F021,1,0.9210526315789473,19|16,0,1.5,19,16,0,35,1.0,0
54,150,T2,A02,32,F027|F024,2,0.954233409610984,16|0|16,0,5.333333333333333,16,16,0,22,0.6875,10
