feature,importance,kind
numeric__seen_in_current_solution,324363.4592285156,classifier_gain
numeric__is_incumbent_sequence,60088.9983215332,classifier_gain
numeric__seen_in_elite_pool,47245.91925048828,classifier_gain
numeric__feature_directed_shuttle_flow,20249.845985412598,classifier_gain
numeric__feature_current_route_passengers,18145.99701690674,classifier_gain
numeric__feature_current_duration_minutes,17492.39803314209,classifier_gain
numeric__feature_technical_stop_complexity_proxy,15571.864044189453,classifier_gain
numeric__feature_current_mean_utilization,13477.889015197754,classifier_gain
numeric__search_iteration,12437.426971435547,classifier_gain
numeric__feature_current_land_fraction,11917.91293334961,classifier_gain
numeric__structural_novelty,10294.726821899414,classifier_gain
numeric__sequence_novelty,9953.085083007812,classifier_gain
numeric__feature_min_airport_distance_km,9894.57797241211,classifier_gain
numeric__feature_route_distance_km,9119.546195983887,classifier_gain
numeric__search_best_objective,7058.787948608398,classifier_gain
numeric__feature_max_pairwise_distance_km,6678.676803588867,classifier_gain
numeric__feature_min_pairwise_distance_km,6231.450981140137,classifier_gain
numeric__feature_fixed_airport_affinity,4765.346977233887,classifier_gain
numeric__search_stagnation_length,2945.550033569336,classifier_gain
categorical__destroy_operator_low_utilization_route,2390.595977783203,classifier_gain
numeric__feature_score,2370.2220001220703,classifier_gain
numeric__feature_inbound_flow,2365.165985107422,classifier_gain
numeric__feature_reverse_shuttle_flow,2346.788948059082,classifier_gain
numeric__search_current_objective,2146.6839904785156,classifier_gain
"categorical__feature_current_base_airports_[""A02""]",1885.5030822753906,classifier_gain
numeric__feature_detour_ratio,1868.0505828857422,classifier_gain
numeric__search_sa_temperature,1755.3419952392578,classifier_gain
numeric__feature_local_supported_demand,1644.890007019043,classifier_gain
numeric__rank_score_geometry,1468.5810089111328,classifier_gain
numeric__rank_score_context,1416.6419830322266,classifier_gain
numeric__feature_max_airport_distance_km,1257.7890014648438,classifier_gain
numeric__feature_service_node_count,1094.6500244140625,classifier_gain
numeric__feature_capacity_fit,970.7180023193359,classifier_gain
numeric__feature_flow_complementarity,847.43798828125,classifier_gain
numeric__feature_seat_reuse_proxy,785.3480224609375,classifier_gain
categorical__context_rank_bin_low,695.4210052490234,classifier_gain
numeric__feature_current_mean_residual_slack,692.765998840332,classifier_gain
categorical__search_destroy_operator_low_utilization_route,462.1719970703125,classifier_gain
numeric__feature_land_flexible_flow,444.73199462890625,classifier_gain
categorical__destroy_operator_shared_facility_flow,314.2099914550781,classifier_gain
categorical__destroy_operator_high_cost_route,280.4939880371094,classifier_gain
categorical__destroy_operator_land_heavy_route,231.43799591064453,classifier_gain
categorical__portfolio_source_exploration,224.31100463867188,classifier_gain
numeric__feature_ejection_coverage,209.42100524902344,classifier_gain
numeric__feature_refuel_facilities,0.0,classifier_gain
numeric__feature_outbound_flow,0.0,classifier_gain
numeric__feature_incumbent_sequence,0.0,classifier_gain
numeric__feature_current_route_count,0.0,classifier_gain
numeric__feature_bidirectional_flow,0.0,classifier_gain
numeric__feature_current_mean_stop_count,0.0,classifier_gain
numeric__feature_current_min_residual_slack,0.0,classifier_gain
numeric__missingindicator_feature_local_supported_demand,0.0,classifier_gain
numeric__search_warm_start_objective,0.0,classifier_gain
numeric__search_warm_start_flights,0.0,classifier_gain
numeric__search_relink_flag,0.0,classifier_gain
numeric__search_destroy_size,0.0,classifier_gain
numeric__seen_in_previous_run,0.0,classifier_gain
numeric__missingindicator_feature_ejection_coverage,0.0,classifier_gain
numeric__missingindicator_feature_incumbent_sequence,0.0,classifier_gain
numeric__search_cross_exchange_flag,0.0,classifier_gain
categorical__geometry_rank_bin_mid,0.0,classifier_gain
categorical__geometry_rank_bin_low,0.0,classifier_gain
categorical__geometry_rank_bin_incumbent,0.0,classifier_gain
categorical__candidate_source_INCUMBENT,0.0,classifier_gain
categorical__candidate_source_GEOMETRY_TOP,0.0,classifier_gain
categorical__candidate_source_GEOMETRY_MID,0.0,classifier_gain
categorical__candidate_source_GEOMETRY_LOW,0.0,classifier_gain
categorical__candidate_source_EXPLORATION_RANDOM,0.0,classifier_gain
categorical__context_rank_bin_unavailable,0.0,classifier_gain
categorical__geometry_rank_bin_top,0.0,classifier_gain
categorical__context_rank_bin_mid,0.0,classifier_gain
categorical__portfolio_source_geometry,0.0,classifier_gain
categorical__portfolio_source_incumbent,0.0,classifier_gain
categorical__search_destroy_operator_high_cost_route,0.0,classifier_gain
categorical__search_destroy_operator_land_heavy_route,0.0,classifier_gain
categorical__context_rank_bin_top,0.0,classifier_gain
categorical__search_destroy_operator_shared_facility_flow,0.0,classifier_gain
categorical__search_restart_type_independent_elite,0.0,classifier_gain
categorical__search_run_purpose_ml_exploration,0.0,classifier_gain
categorical__search_restart_type_lineage_resume,0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T1"",""T2"",""T3""]",0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T1"",""T2""]",0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T1"",""T3""]",0.0,classifier_gain
categorical__search_targeted_trigger___MISSING__,0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T2"",""T3""]",0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T2""]",0.0,classifier_gain
"categorical__feature_current_base_airports_[""A01"",""A02"",""A03""]",0.0,classifier_gain
"categorical__feature_current_aircraft_types_[""T3""]",0.0,classifier_gain
"categorical__feature_current_base_airports_[""A01"",""A02""]",0.0,classifier_gain
"categorical__feature_current_base_airports_[""A01""]",0.0,classifier_gain
"categorical__feature_current_base_airports_[""A02"",""A03""]",0.0,classifier_gain
"categorical__feature_current_base_airports_[""A03""]",0.0,classifier_gain
numeric__feature_current_duration_minutes,72.0,classifier_split
numeric__feature_current_mean_utilization,65.0,classifier_split
numeric__feature_current_land_fraction,61.0,classifier_split
numeric__feature_current_route_passengers,60.0,classifier_split
numeric__feature_directed_shuttle_flow,60.0,classifier_split
numeric__search_iteration,52.0,classifier_split
numeric__seen_in_current_solution,39.0,classifier_split
