feature,importance,kind
"categorical__feature_current_aircraft_types_[""T1"",""T2""]",-2.8097564941902275,coefficient
numeric__feature_flow_complementarity,2.7074716979397744,coefficient
numeric__feature_land_flexible_flow,-2.5185998992972656,coefficient
numeric__feature_inbound_flow,-1.8432701770027178,coefficient
numeric__rank_score_geometry,1.7614445541479213,coefficient
numeric__feature_outbound_flow,1.1266141677353174,coefficient
"categorical__feature_current_aircraft_types_[""T1"",""T3""]",1.0605171330045853,coefficient
numeric__feature_route_distance_km,-0.9525927465037123,coefficient
numeric__seen_in_current_solution,0.8413413130216449,coefficient
"categorical__feature_current_aircraft_types_[""T2"",""T3""]",0.7655810206793434,coefficient
categorical__context_rank_bin_low,0.7436097843694865,coefficient
categorical__context_rank_bin_top,-0.6652295717265819,coefficient
numeric__feature_score,0.5917232514922595,coefficient
"categorical__feature_current_base_airports_[""A03""]",0.5817760885697475,coefficient
categorical__geometry_rank_bin_mid,-0.5680304128915318,coefficient
numeric__feature_min_airport_distance_km,0.5581030598944304,coefficient
numeric__feature_local_supported_demand,0.5360754108180663,coefficient
numeric__feature_service_node_count,0.5327868845018343,coefficient
"categorical__feature_current_base_airports_[""A02""]",-0.5206942404784369,coefficient
"categorical__feature_current_base_airports_[""A01"",""A02"",""A03""]",-0.50527904543601,coefficient
numeric__feature_max_airport_distance_km,0.470256618977123,coefficient
categorical__geometry_rank_bin_low,0.46133087769851316,coefficient
numeric__feature_current_route_passengers,-0.44088495638128244,coefficient
numeric__sequence_novelty,-0.4211061640540696,coefficient
numeric__missingindicator_feature_incumbent_sequence,-0.4211061640540696,coefficient
numeric__feature_fixed_airport_affinity,-0.41690938944275613,coefficient
numeric__is_incumbent_sequence,0.4166412587168808,coefficient
numeric__missingindicator_feature_ejection_coverage,0.4166412587168808,coefficient
numeric__missingindicator_feature_local_supported_demand,0.4166412587168808,coefficient
numeric__search_warm_start_objective,0.41658802881530665,coefficient
numeric__feature_max_pairwise_distance_km,0.4115641571299857,coefficient
"categorical__feature_current_base_airports_[""A01""]",0.409740708568187,coefficient
numeric__search_iteration,-0.38153433391288266,coefficient
"categorical__feature_current_aircraft_types_[""T3""]",0.3760533239336568,coefficient
"categorical__feature_current_aircraft_types_[""T2""]",0.34998578874692376,coefficient
numeric__search_sa_temperature,0.3431982348424751,coefficient
categorical__portfolio_source_geometry,-0.28622554658892935,coefficient
categorical__context_rank_bin_mid,-0.2784568624501127,coefficient
numeric__seen_in_elite_pool,-0.2579274961757549,coefficient
categorical__candidate_source_GEOMETRY_MID,-0.256288437810133,coefficient
"categorical__feature_current_aircraft_types_[""T1"",""T2"",""T3""]",0.2554978547369834,coefficient
numeric__structural_novelty,-0.22227170001129365,coefficient
numeric__rank_score_context,0.2167594065084935,coefficient
categorical__search_restart_type_lineage_resume,-0.2005316023754633,coefficient
categorical__search_restart_type_independent_elite,0.19841022925678703,coefficient
categorical__context_rank_bin_unavailable,0.19795527669075733,coefficient
categorical__candidate_source_INCUMBENT,0.19795527669075733,coefficient
categorical__portfolio_source_incumbent,0.19795527669075733,coefficient
categorical__geometry_rank_bin_incumbent,0.19795527669075733,coefficient
categorical__search_destroy_operator_high_cost_route,0.17867927575120612,coefficient
categorical__destroy_operator_high_cost_route,0.17867927575120612,coefficient
numeric__feature_seat_reuse_proxy,0.17222676155654032,coefficient
"categorical__feature_current_base_airports_[""A01"",""A02""]",0.17157340158582102,coefficient
numeric__search_current_objective,-0.16893502108841021,coefficient
numeric__search_best_objective,-0.16893502108841021,coefficient
categorical__destroy_operator_land_heavy_route,-0.15024071097479977,coefficient
categorical__search_destroy_operator_land_heavy_route,-0.15024071097479977,coefficient
numeric__feature_current_duration_minutes,-0.14233636966895188,coefficient
"categorical__feature_current_base_airports_[""A02"",""A03""]",-0.1392382859272082,coefficient
numeric__feature_reverse_shuttle_flow,-0.13119750339241545,coefficient
numeric__search_stagnation_length,0.1249714019946395,coefficient
categorical__candidate_source_GEOMETRY_LOW,-0.11620724411883995,coefficient
numeric__feature_current_mean_stop_count,0.1103024135924889,coefficient
numeric__feature_min_pairwise_distance_km,0.10319718861070137,coefficient
categorical__geometry_rank_bin_top,-0.09337711461158266,coefficient
categorical__search_destroy_operator_shared_facility_flow,-0.0895575819501937,coefficient
categorical__destroy_operator_shared_facility_flow,-0.0895575819501937,coefficient
numeric__feature_refuel_facilities,-0.08793055933405539,coefficient
categorical__candidate_source_GEOMETRY_TOP,0.08627013534002335,coefficient
categorical__candidate_source_EXPLORATION_RANDOM,0.08614889678207237,coefficient
