model,split,pr_auc,roc_auc,brier,k,selected,precision,recall,novel_positive_precision,novel_positive_recall,lift,positive_group_hit_rate
random,validation,0.005048254555186187,0.4926590112053708,0.3331127526539416,10,9960,0.0051204819277108436,0.049707602339181284,0.00010040160642570282,0.0196078431372549,0.9950553676695085,0.17578125
random,validation,0.005048254555186187,0.4926590112053708,0.3331127526539416,25,24900,0.005220883534136547,0.1267056530214425,0.00020080321285140563,0.09803921568627451,1.0145662572316558,0.38671875
random,validation,0.005048254555186187,0.4926590112053708,0.3331127526539416,50,49800,0.0049196787148594375,0.2387914230019493,0.00018072289156626507,0.17647058823529413,0.956033588545214,0.66796875
random,test,0.007778425291548896,0.5251690759981212,0.333969842536222,10,2720,0.006985294117647059,0.05555555555555555,0.0,0.0,0.9901143790849674,0.22093023255813954
random,test,0.007778425291548896,0.5251690759981212,0.333969842536222,25,6800,0.007352941176470588,0.14619883040935672,0.0,0.0,1.0422256621947024,0.46511627906976744
random,test,0.007778425291548896,0.5251690759981212,0.333969842536222,50,13600,0.008161764705882353,0.32456140350877194,0.00014705882352941175,0.16666666666666666,1.1568704850361198,0.7441860465116279
geometry,validation,0.008532179916834769,0.6903292028198993,0.9543552183883353,10,9960,0.0026104417670682733,0.025341130604288498,0.0,0.0,0.5072831286158279,0.1015625
geometry,validation,0.008532179916834769,0.6903292028198993,0.9543552183883353,25,24900,0.0025301204819277107,0.06140350877192982,0.0,0.0,0.49167441696611003,0.23046875
geometry,validation,0.008532179916834769,0.6903292028198993,0.9543552183883353,50,49800,0.0031526104417670684,0.1530214424951267,0.0,0.0,0.6126419322514229,0.4609375
geometry,test,0.010279357161516366,0.6548272464030118,0.8658408910142364,10,2720,0.003676470588235294,0.029239766081871343,0.0,0.0,0.5211128310973512,0.11627906976744186
geometry,test,0.010279357161516366,0.6548272464030118,0.8658408910142364,25,6800,0.003088235294117647,0.06140350877192982,0.0,0.0,0.437734778121775,0.2441860465116279
geometry,test,0.010279357161516366,0.6548272464030118,0.8658408910142364,50,13600,0.004044117647058824,0.1608187134502924,0.0,0.0,0.5732241142070864,0.4883720930232558
logistic_regression,validation,0.024193137210419966,0.8524526437551198,0.1457674204016442,10,9960,0.03253012048192771,0.3157894736842105,0.0,0.0,6.3215282181357,0.890625
logistic_regression,validation,0.024193137210419966,0.8524526437551198,0.1457674204016442,25,24900,0.029236947791164657,0.7095516569200779,0.0,0.0,5.681571040497272,0.98828125
logistic_regression,validation,0.024193137210419966,0.8524526437551198,0.1457674204016442,50,49800,0.018654618473895584,0.905458089668616,0.0004417670682730924,0.43137254901960786,3.625123280646955,0.99609375
logistic_regression,test,0.0366347592567577,0.8782914631351999,0.10689426665082172,10,2720,0.045588235294117645,0.36257309941520466,0.0,0.0,6.461799105607155,0.9302325581395349
