acceptance_policy,accepted,accepted_deteriorating,affected_demand_groups,best_objective,bound_scope,candidate_features,candidate_sequences,current_objective,destroy_operator,destroy_size,destroyed_routes,enrichment_rounds,evaluator_calls,facilities,flight_delta,iteration,local_master_size,new_best,operator_weight_after,operator_weight_before,primary_gain,primary_status,repair_policy,repair_success,restricted_dual_bound,restricted_gap,route_ejected,run_id,runtime,sa_acceptance_probability,secondary_gain,selected_3_5_stop_candidates,selected_4_stop_candidates,selected_columns,selected_new_candidates,stagnation_before,targeted_trigger,temperature
sa,True,True,21,17679,restricted_local_master,"{""ranking"":""portfolio""}",24,17679,high_cost_route,4,"[86,87,2,28]",,101,"[""F038"",""F039"",""F045"",""F048"",""F051"",""F052""]",0,0,1002,False,1.4,1.0,0,0,portfolio_exact_local_milp,True,849.0,0.0,False,20260815-q2-round2-ml-logging-s21,6.719829,0.920044415,-18,0,0,"[{""aircraft_type"":""T2"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F039"",""F052""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F038"",""F045""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":true,""service_order"":[""F039"",""F048""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F045"",""F051"",""F038"",""F039""]}]",1,0,,12.0
sa,True,True,17,17679,restricted_local_master,"{""ranking"":""portfolio""}",24,17679,land_heavy_route,4,"[1,71,68,36]",,101,"[""F002"",""F003"",""F004"",""F006"",""F013""]",0,1,1033,False,1.4,1.0,0,0,portfolio_exact_local_milp,True,736.0,0.0,False,20260815-q2-round2-ml-logging-s21,7.242829,0.913401524,-120,0,0,"[{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F002"",""F004""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F002"",""F003""]},{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F013""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":true,""service_order"":[""F013"",""F002""]}]",1,1,,11.04
sa,True,False,18,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,land_heavy_route,4,"[2,22,12,17]",,101,"[""F019"",""F020"",""F022"",""F024"",""F033""]",0,2,1199,True,2.32,1.4,14,0,portfolio_exact_local_milp,True,662.9999999999993,0.0,False,20260815-q2-round2-ml-logging-s21,9.11575,1.0,0,0,0,"[{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":true,""service_order"":[""F019""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F020"",""F019""]},{""aircraft_type"":""T2"",""base_airport"":""A02"",""candidate_features"":null,""new_candidate"":true,""service_order"":[""F019"",""F033""]},{""aircraft_type"":""T3"",""base_airport"":""A02"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F019"",""F033"",""F022"",""F020""]}]",2,0,,10.1568
sa,True,False,18,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,land_heavy_route,4,"[52,30,14,54]",,101,"[""F001"",""F005"",""F016"",""F018"",""F026"",""F030""]",0,3,936,True,2.456,2.32,0,0,portfolio_exact_local_milp,True,596.0,0.0,False,20260815-q2-round2-ml-logging-s21,7.13599,1.0,43,0,0,"[{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F016"",""F005""]},{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F018"",""F016""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F001"",""F016""]},{""aircraft_type"":""T3"",""base_airport"":""A02"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F026"",""F018"",""F030""]}]",0,0,,9.344256
sa,True,False,16,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,high_cost_route,4,"[57,56,59,11]",,101,"[""F003"",""F004"",""F006"",""F007"",""F010"",""F013""]",0,4,978,True,1.72,1.4,0,0,portfolio_exact_local_milp,True,764.0,0.0,False,20260815-q2-round2-ml-logging-s21,4.90463,1.0,125,0,0,"[{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F003"",""F007""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F004"",""F007"",""F006""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F010"",""F006"",""F007""]},{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F006"",""F013"",""F007"",""F010""]}]",0,0,,8.596716
sa,True,True,13,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,high_cost_route,4,"[96,95,84,31]",,101,"[""F002"",""F004"",""F006"",""F007"",""F010"",""F013""]",0,5,727,False,1.976,1.72,0,0,portfolio_exact_local_milp,True,798.0,0.0,False,20260815-q2-round2-ml-logging-s21,2.540498,0.881228271,-42,0,0,"[{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F007"",""F004""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F010"",""F006"",""F007""]},{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F006"",""F013"",""F007"",""F010""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F013"",""F002""]}]",0,0,,7.908978
sa,True,True,20,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,shared_facility_flow,4,"[37,79,76,77]",,101,"[""F038"",""F039"",""F045"",""F051"",""F052""]",0,6,1288,False,1.4,1.0,0,0,portfolio_exact_local_milp,True,820.0,0.0,False,20260815-q2-round2-ml-logging-s21,3.795552,0.871592534,0,0,0,"[{""aircraft_type"":""T2"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F045"",""F038""]},{""aircraft_type"":""T2"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F039"",""F052""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F038"",""F045""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F045"",""F051"",""F038"",""F039""]}]",0,1,,7.27626
sa,True,True,19,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,low_utilization_route,4,"[31,53,70,76]",,101,"[""F001"",""F002"",""F004"",""F005"",""F007"",""F011""]",0,7,706,False,1.4,1.0,0,0,portfolio_exact_local_milp,True,728.0,0.0,False,20260815-q2-round2-ml-logging-s21,4.116315,0.861238372,-116,0,0,"[{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F002"",""F004""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F001"",""F005""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F004"",""F007"",""F002""]},{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F002"",""F011"",""F001""]}]",0,2,,6.694159
sa,True,True,22,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,shared_facility_flow,4,"[91,92,45,30]",,101,"[""F038"",""F039"",""F041"",""F043"",""F045"",""F051""]",0,8,1118,False,1.72,1.4,0,0,portfolio_exact_local_milp,True,881.0,0.0,False,20260815-q2-round2-ml-logging-s21,2.934759,0.850123312,0,0,0,"[{""aircraft_type"":""T2"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F041"",""F045""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F038"",""F045""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F045"",""F051"",""F038"",""F039""]},{""aircraft_type"":""T3"",""base_airport"":""A03"",""candidate_features"":null,""new_candidate"":true,""service_order"":[""F043"",""F051""]}]",1,3,,6.158626
sa,True,True,15,17665,restricted_local_master,"{""ranking"":""portfolio""}",24,17665,land_heavy_route,4,"[2,5,77,90]",,101,"[""F001"",""F005"",""F012"",""F015"",""F016""]",0,9,768,False,2.5648,2.456,0,0,portfolio_exact_local_milp,True,595.0,0.0,False,20260815-q2-round2-ml-logging-s21,4.836319,0.838204366,0,0,0,"[{""aircraft_type"":""T2"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F016"",""F005""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F012""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F012"",""F015""]},{""aircraft_type"":""T3"",""base_airport"":""A01"",""candidate_features"":null,""new_candidate"":false,""service_order"":[""F001"",""F005""]}]",0,4,,5.665936
