route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count,absorption_score,absorption_components,compatible_neighbor_count,neighbor_slack_sum,absorption_rank
88,214,T3,A02,35,F025|F035|F031,3,0.850812693498452,19|15|5|16,0,5.25,19,16,0,26,0.7428571428571429,9,0.702631579,"{""compatible_neighbors"": 0.9263157894736842, ""geometry"": 0.9263157894736842, ""land_flexibility"": 0.631578947368421, ""low_passengers"": 0.7473684210526316, ""low_utilization"": 0.7894736842105263, ""neighbor_slack"": 0.0736842105263158, ""shared_facilities"": 0.736842105263158, ""source_time"": 0.7894736842105263}",95,777.0,1
93,276,T3,A03,38,F050,1,1.0,19|19,0,0,19,19,0,33,0.868421052631579,5,0.702631579,"{""compatible_neighbors"": 0.9789473684210527, ""geometry"": 0.9789473684210527, ""land_flexibility"": 0.7789473684210526, ""low_passengers"": 0.6210526315789473, ""low_utilization"": 0.2210526315789474, ""neighbor_slack"": 1.0, ""shared_facilities"": 0.0736842105263158, ""source_time"": 0.968421052631579}",95,798.0,2
81,152,T1,A01,31,F021|F024|F027,3,0.9654736080983369,12|12|12|11,0,0.25,12,11,8,23,0.7419354838709677,8,0.701315789,"{""compatible_neighbors"": 0.8526315789473684, ""geometry"": 0.8526315789473684, ""land_flexibility"": 0.6210526315789473, ""low_passengers"": 0.9263157894736842, ""low_utilization"": 0.41052631578947374, ""neighbor_slack"": 0.7578947368421053, ""shared_facilities"": 0.9473684210526316, ""source_time"": 0.2421052631578947}",95,797.0,3
89,219,T3,A01,45,F031|F032|F025,3,0.8503172825681224,19|14|19|12,0,3,19,12,14,31,0.6888888888888889,14,0.682894737,"{""compatible_neighbors"": 0.9368421052631579, ""geometry"": 0.9368421052631579, ""land_flexibility"": 0.4526315789473684, ""low_passengers"": 0.3789473684210526, ""low_utilization"": 0.8, ""neighbor_slack"": 0.2947368421052632, ""shared_facilities"": 0.8526315789473684, ""source_time"": 0.8105263157894737}",95,786.0,4
95,288,T3,A03,35,F050|F042,2,0.9033681614640794,16|12|19,0,3.3333333333333335,16,19,0,20,0.5714285714285714,15,0.667105263,"{""compatible_neighbors"": 1.0, ""geometry"": 1.0, ""land_flexibility"": 0.2947368421052632, ""low_passengers"": 0.7578947368421053, ""low_utilization"": 0.6736842105263158, ""neighbor_slack"": 0.4, ""shared_facilities"": 0.21052631578947367, ""source_time"": 1.0}",95,788.0,5
91,229,T3,A02,54,F048|F031|F021,3,0.87248322147651,19|0|19|19,0,4.75,19,19,16,36,0.6666666666666666,18,0.647368421,"{""compatible_neighbors"": 0.9578947368421052, ""geometry"": 0.9578947368421052, ""land_flexibility"": 0.41052631578947374, ""low_passengers"": 0.13684210526315788, ""low_utilization"": 0.7578947368421053, ""neighbor_slack"": 0.09473684210526312, ""shared_facilities"": 1.0, ""source_time"": 0.8631578947368421}",95,779.0,6
75,236,T3,A01,44,F006|F013|F007|F010,4,0.9506352087114338,19|12|19|13|19,0,2.6,19,19,6,32,0.7272727272727273,12,0.644736842,"{""compatible_neighbors"": 0.7894736842105263, ""geometry"": 0.7894736842105263, ""land_flexibility"": 0.5789473684210527, ""low_passengers"": 0.4, ""low_utilization"": 0.4842105263157894, ""neighbor_slack"": 0.27368421052631575, ""shared_facilities"": 0.9578947368421052, ""source_time"": 0.8842105263157894}",95,785.0,7
94,288,T2,A03,44,F044|F050|F043,3,0.8141546329723225,13|0|16|16|16,0,3.8,13,16,15,14,0.3181818181818182,30,0.640789474,"{""compatible_neighbors"": 0.9894736842105263, ""geometry"": 0.9894736842105263, ""land_flexibility"": 0.03157894736842104, ""low_passengers"": 0.41052631578947374, ""low_utilization"": 0.8526315789473684, ""neighbor_slack"": 0.10526315789473684, ""shared_facilities"": 0.7578947368421053, ""source_time"": 0.9894736842105263}",95,779.0,8
87,167,T2,A01,21,F001|F018|F005,3,0.358695652173913,5|12|11|5,4,7.75,5,5,11,6,0.2857142857142857,15,0.638157895,"{""compatible_neighbors"": 0.9157894736842105, ""geometry"": 0.9157894736842105, ""land_flexibility"": 0.010526315789473717, ""low_passengers"": 1.0, ""low_utilization"": 1.0, ""neighbor_slack"": 0.0, ""shared_facilities"": 0.8421052631578947, ""source_time"": 0.42105263157894735}",95,767.0,9
76,236,T3,A01,50,F010|F007|F013|F006,4,0.8843920145190562,18|19|6|9|19,0,4.8,18,19,13,37,0.74,13,0.632894737,"{""compatible_neighbors"": 0.8, ""geometry"": 0.8, ""land_flexibility"": 0.6105263157894737, ""low_passengers"": 0.2315789473684211, ""low_utilization"": 0.7263157894736842, ""neighbor_slack"": 0.03157894736842104, ""shared_facilities"": 0.968421052631579, ""source_time"": 0.8947368421052632}",95,774.0,10
