route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count
0,194,T2,A02,30,F032|F023,2,0.9236607142857143,14|7|16|16,0,2.75,14,16,0,16,0.5333333333333333,14
1,158,T2,A02,29,F019|F024,2,0.8834677419354838,16|9|13,0,3.3333333333333335,16,13,0,24,0.8275862068965517,5
2,130,T2,A01,45,F015|F009,2,1.0,16|16|16,0,0,16,16,13,22,0.4888888888888889,23
3,187,T3,A01,36,F034,1,0.9473684210526315,18|18|18,1,1,18,18,0,36,1.0,0
4,193,T3,A02,37,F034,1,0.9737870065789473,19|19|18,0,0.3333333333333333,19,18,0,30,0.8108108108108109,7
5,113,T2,A01,32,F014|F030,2,0.9947916666666666,16|14|16,0,0.6666666666666666,16,16,0,24,0.75,8
6,197,T3,A01,36,F024|F035,2,0.8893336001600961,17|7|19,0,4.666666666666667,17,19,0,36,1.0,0
7,127,T3,A01,38,F017|F030,2,0.950981932443048,19|6|19,0,4.333333333333333,19,19,0,30,0.7894736842105263,8
8,136,T1,A02,30,F024|F027,2,0.8073989321128909,12|11|7,0,2,12,7,11,4,0.13333333333333333,26
9,139,T3,A01,38,F016|F020,2,0.9717034521788341,19|9|19,0,3.3333333333333335,19,19,0,37,0.9736842105263158,1
10,207,T3,A03,57,F038|F045,2,1.0,19|19|19,0,0,19,19,19,37,0.6491228070175439,20
11,102,T2,A01,25,F009,1,0.78125,12|13,3,3.5,12,13,0,20,0.8,5
12,163,T3,A01,51,F008|F003,2,0.991130820399113,19|17|19,0,0.6666666666666666,19,19,13,32,0.6274509803921569,19
13,206,T3,A01,65,F009|F003|F008|F011,4,0.9617717132337016,19|18|18|17|18,0,1,19,18,28,34,0.5230769230769231,31
14,167,T3,A01,36,F002|F003,2,0.7593984962406015,19|19|8,0,3.6666666666666665,19,8,9,17,0.4722222222222222,19
15,148,T3,A01,31,F028,1,0.8157894736842105,12|19,0,3.5,12,19,0,31,1.0,0
16,169,T3,A01,37,F007|F004,2,0.924892703862661,19|6|18,0,4.666666666666667,19,18,0,37,1.0,0
17,215,T2,A01,32,F002|F011|F001,3,0.8342177672955975,16|1|14|16,0,4.25,16,16,0,23,0.71875,9
18,184,T2,A03,32,F051,1,1.0,16|16|16,0,0,16,16,0,32,1.0,0
19,129,T2,A01,32,F018|F016,2,0.9811230964467005,16|9|16,0,2.3333333333333335,16,16,0,28,0.875,4
20,150,T3,A02,38,F026,1,1.0,19|19,0,0,19,19,0,26,0.6842105263157895,12
21,177,T3,A02,38,F026|F018|F030,3,0.9488526087452905,19|10|12|19,0,4,19,19,0,27,0.7105263157894737,11
22,200,T3,A02,33,F031|F023,2,0.8585649517051055,14|10|19,0,4.666666666666667,14,19,0,25,0.7575757575757576,8
23,148,T3,A01,38,F010,1,1.0,19|19,0,0,19,19,0,31,0.8157894736842105,7
24,163,T3,A01,49,F002|F004,2,1.0,19|19|19,0,0,19,19,11,34,0.6938775510204082,15
25,185,T3,A01,52,F004|F007|F006,3,0.9698624153745359,19|16|7|19,0,3.75,19,19,14,38,0.7307692307692307,14
26,166,T2,A02,30,F011|F028,2,0.9317718940936863,14|12|16,0,2,14,16,0,23,0.7666666666666667,7
27,172,T3,A01,46,F028|F018,2,0.8040079277692138,12|18|18,1,3,12,18,16,30,0.6521739130434783,16
28,164,T3,A02,35,F047,1,0.9210526315789473,17|18,1,1.5,17,18,0,35,1.0,0
29,201,T3,A02,48,F036|F046,2,1.0,19|19|19|19,0,0,19,19,10,38,0.7916666666666666,10
30,156,T3,A03,38,F036,1,1.0,19|19,0,0,19,19,0,24,0.631578947368421,14
31,154,T3,A01,50,F030|F026,2,0.8469808726090762,19|19|13,0,2,19,13,18,32,0.64,18
32,118,T2,A01,38,F014|F017,2,0.8790492957746479,16|10|13,0,3,16,13,9,28,0.7368421052631579,10
33,133,T3,A01,47,F017|F014,2,0.7902149740548554,10|18|19,0,3.3333333333333335,10,19,18,29,0.6170212765957447,18
34,138,T3,A01,38,F025,1,1.0,19|19,0,0,19,19,0,38,1.0,0
35,171,T3,A01,43,F003|F007,2,0.6689662846333593,12|19|12,0,4.666666666666667,12,12,19,18,0.4186046511627907,25
36,184,T3,A01,57,F004|F007|F002,3,0.9344298245614036,17|15|17|19,0,2,17,19,21,26,0.45614035087719296,31
37,221,T3,A01,54,F013|F002,2,1.0,19|19|19|19,0,0,19,19,16,38,0.7037037037037037,16
38,155,T3,A01,49,F011|F015,2,1.0,19|19|19,0,0,19,19,11,28,0.5714285714285714,21
39,158,T3,A01,45,F012|F015,2,0.83296783625731,17|19|14,0,2.3333333333333335,17,14,14,25,0.5555555555555556,20
40,158,T3,A01,35,F015|F012,2,0.8958333333333334,19|12|16,0,3.3333333333333335,19,16,0,34,0.9714285714285714,1
41,201,T2,A03,32,F041|F045,2,0.8594548551959114,16|16|15|11,0,1.5,16,11,5,23,0.71875,9
42,207,T3,A02,38,F031|F052,2,0.9427300265051117,19|8|19,0,3.6666666666666665,19,19,0,38,1.0,0
43,208,T3,A02,34,F036|F049,2,0.64675921302307,4|18|18|18,1,4.5,4,18,12,22,0.6470588235294118,12
