route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count,absorption_score,absorption_components,compatible_neighbor_count,neighbor_slack_sum,absorption_rank
83,182,T2,A02,31,F031|F052,2,0.9461555755395683,16|12|15,0,1.6666666666666667,16,15,0,27,0.8709677419354839,4,0.722074468,"{""compatible_neighbors"": 0.8829787234042553, ""geometry"": 0.8829787234042553, ""land_flexibility"": 0.7872340425531915, ""low_passengers"": 0.9042553191489362, ""low_utilization"": 0.5531914893617021, ""neighbor_slack"": 0.5531914893617021, ""shared_facilities"": 0.6702127659574468, ""source_time"": 0.5425531914893618}",94,726.0,1
81,190,T2,A02,32,F025|F035|F031,3,0.9289981617647058,16|14|4|16,0,3.5,16,16,0,22,0.6875,10,0.683510638,"{""compatible_neighbors"": 0.8617021276595744, ""geometry"": 0.8617021276595744, ""land_flexibility"": 0.5638297872340425, ""low_passengers"": 0.8723404255319149, ""low_utilization"": 0.6382978723404256, ""neighbor_slack"": 0.19148936170212771, ""shared_facilities"": 0.8617021276595744, ""source_time"": 0.6170212765957447}",94,717.0,2
48,184,T2,A03,30,F051|F038,2,0.9411896243291592,16|16|14,0,0.6666666666666666,16,14,0,26,0.8666666666666667,4,0.67287234,"{""compatible_neighbors"": 0.5106382978723405, ""geometry"": 0.5106382978723405, ""land_flexibility"": 0.7765957446808511, ""low_passengers"": 0.9361702127659575, ""low_utilization"": 0.5957446808510638, ""neighbor_slack"": 0.7021276595744681, ""shared_facilities"": 0.7978723404255319, ""source_time"": 0.5531914893617021}",94,729.0,3
74,190,T2,A03,30,F049|F036,2,0.8137568555758684,16|0|0|14,0,8.5,16,14,0,24,0.8,6,0.670212766,"{""compatible_neighbors"": 0.7872340425531915, ""geometry"": 0.7872340425531915, ""land_flexibility"": 0.7234042553191489, ""low_passengers"": 0.9468085106382979, ""low_utilization"": 0.9148936170212766, ""neighbor_slack"": 0.0, ""shared_facilities"": 0.5957446808510638, ""source_time"": 0.6063829787234043}",94,697.0,4
90,167,T2,A01,43,F001|F018|F005,3,0.9953804347826087,16|15|16|16,0,0.25,16,16,11,32,0.7441860465116279,11,0.659574468,"{""compatible_neighbors"": 0.9574468085106383, ""geometry"": 0.9574468085106383, ""land_flexibility"": 0.648936170212766, ""low_passengers"": 0.45744680851063835, ""low_utilization"": 0.22340425531914898, ""neighbor_slack"": 0.7765957446808511, ""shared_facilities"": 0.8297872340425532, ""source_time"": 0.42553191489361697}",94,730.0,5
86,219,T3,A02,47,F031|F032|F025,3,0.8797527626896423,19|14|18|14,0,2.75,19,14,14,27,0.574468085106383,20,0.655585106,"{""compatible_neighbors"": 0.9148936170212766, ""geometry"": 0.9148936170212766, ""land_flexibility"": 0.22340425531914898, ""low_passengers"": 0.35106382978723405, ""low_utilization"": 0.7872340425531915, ""neighbor_slack"": 0.3191489361702128, ""shared_facilities"": 0.8936170212765957, ""source_time"": 0.8404255319148937}",94,720.0,6
75,205,T2,A02,42,F025|F036|F031|F047|F046,5,0.9744971264367817,16|11|14|15|15|16,0,1.5,16,16,10,31,0.7380952380952381,11,0.643617021,"{""compatible_neighbors"": 0.7978723404255319, ""geometry"": 0.7978723404255319, ""land_flexibility"": 0.6276595744680851, ""low_passengers"": 0.4787234042553191, ""low_utilization"": 0.32978723404255317, ""neighbor_slack"": 0.3936170212765957, ""shared_facilities"": 0.9787234042553191, ""source_time"": 0.7446808510638299}",94,722.0,7
92,166,T3,A02,35,F026|F030,2,0.8504576659038902,19|6|16,0,5.333333333333333,19,16,0,26,0.7428571428571429,9,0.638297872,"{""compatible_neighbors"": 0.9787234042553191, ""geometry"": 0.9787234042553191, ""land_flexibility"": 0.6382978723404256, ""low_passengers"": 0.7340425531914894, ""low_utilization"": 0.8297872340425532, ""neighbor_slack"": 0.14893617021276595, ""shared_facilities"": 0.3936170212765957, ""source_time"": 0.4042553191489362}",94,715.0,8
65,266,T2,A03,26,F040|F042,2,0.8007707774798928,12|12|7|14|14,2,4.2,12,14,0,17,0.6538461538461539,9,0.628989362,"{""compatible_neighbors"": 0.6914893617021276, ""geometry"": 0.6914893617021276, ""land_flexibility"": 0.43617021276595747, ""low_passengers"": 0.9680851063829787, ""low_utilization"": 0.925531914893617, ""neighbor_slack"": 0.05319148936170215, ""shared_facilities"": 0.3191489361702128, ""source_time"": 0.9468085106382979}",94,710.0,9
68,288,T3,A03,32,F050|F042,2,0.8223116360568499,13|11|19,0,4.666666666666667,13,19,0,21,0.65625,11,0.628989362,"{""compatible_neighbors"": 0.7234042553191489, ""geometry"": 0.7234042553191489, ""land_flexibility"": 0.45744680851063835, ""low_passengers"": 0.851063829787234, ""low_utilization"": 0.8829787234042553, ""neighbor_slack"": 0.18085106382978722, ""shared_facilities"": 0.21276595744680848, ""source_time"": 1.0}",94,717.0,10
