source_route,target_route,facility_overlap,od_overlap,minimum_facility_distance_km,airport_compatible,same_base_airport,target_residual_sum,target_residual_min,residual_seat_complementarity,land_reassignment_compatible,shuttle_interaction
0,1,0,0,57.0,True,False,0,0,0,True,False
0,2,0,0,24.0,True,True,0,0,0,True,False
0,3,0,0,24.0,True,True,0,0,0,True,False
0,4,0,0,36.0,True,True,0,0,0,True,False
0,5,0,0,125.0,True,True,0,0,0,True,False
0,6,0,0,209.0,True,False,0,0,0,True,False
0,7,0,0,77.0,True,True,0,0,0,True,False
0,8,0,0,77.0,True,False,4,0,4,True,False
0,9,0,0,139.0,True,True,0,0,0,True,False
0,10,0,0,139.0,True,True,12,0,12,True,False
0,11,0,0,29.0,True,True,13,0,13,True,False
0,12,0,0,41.0,True,True,17,0,17,True,False
0,13,0,0,48.0,True,True,4,0,4,True,False
0,14,0,0,112.0,True,True,4,0,4,True,False
0,15,0,0,143.0,True,False,0,0,0,True,False
0,16,0,0,139.0,True,True,6,0,6,True,False
0,17,0,0,152.0,True,True,10,0,10,True,False
0,18,0,0,125.0,True,True,20,0,20,True,False
0,19,0,0,152.0,True,True,0,0,0,True,False
0,20,0,0,125.0,True,True,22,0,22,True,False
0,21,0,0,258.0,True,False,12,0,12,True,False
0,22,0,0,177.0,True,False,6,0,6,True,False
0,23,0,0,119.0,True,True,2,0,2,True,False
0,24,0,0,161.0,True,True,4,0,4,True,False
0,25,0,0,49.0,True,True,8,4,8,True,False
0,26,0,0,24.0,True,True,1,0,1,True,False
0,27,0,0,48.0,True,True,4,0,4,True,False
0,28,0,0,177.0,True,False,2,0,2,True,False
0,29,0,0,73.0,True,True,10,5,10,True,False
0,30,0,0,119.0,True,True,3,0,3,True,False
0,31,0,0,73.0,True,True,9,0,9,True,False
0,32,0,0,177.0,True,False,0,0,0,True,False
0,33,0,0,209.0,True,False,2,0,2,True,False
0,34,0,0,68.0,True,True,0,0,0,True,False
0,35,1,2,0.0,True,True,1,0,1,True,True
0,36,0,0,41.0,True,True,8,1,8,True,False
