person_id,aircraft_type,flight_no,pickup_stop_order,delivery_stop_order
P0001,T2,16,3,4
P0002,T2,13,0,1
P0003,T3,33,2,3
P0004,T3,9,0,2
P0005,T3,48,1,2
P0006,T3,7,1,3
P0007,T3,27,0,2
P0008,T3,70,0,1
P0009,T3,3,1,2
P0010,T3,37,3,4
P0011,T3,52,1,4
P0012,T3,67,2,4
P0013,T2,24,2,5
P0014,T3,20,1,2
P0015,T2,4,0,3
P0016,T3,70,0,1
P0017,T1,2,3,4
P0018,T2,1,2,3
P0019,T3,20,1,2
P0020,T3,18,0,1
P0021,T2,2,1,3
P0022,T3,33,2,3
P0023,T3,36,2,3
P0024,T3,52,1,4
P0025,T3,59,2,3
P0026,T3,64,1,3
P0027,T3,18,0,1
P0028,T2,12,0,1
P0029,T3,11,0,2
P0030,T3,63,0,1
P0031,T3,25,1,2
P0032,T3,8,1,2
P0033,T3,63,0,1
P0034,T2,5,3,4
P0035,T3,63,0,1
P0036,T3,16,0,1
P0037,T3,70,0,1
P0038,T3,32,1,3
P0039,T3,40,2,3
P0040,T3,52,0,2
P0041,T3,59,2,3
P0042,T3,47,0,1
P0043,T3,36,2,3
P0044,T3,47,0,1
P0045,T3,59,0,2
P0046,T3,39,1,4
P0047,T2,5,3,4
P0048,T3,58,1,2
P0049,T3,14,0,1
P0050,T3,2,1,2
P0051,T3,18,1,3
P0052,T3,20,1,2
P0053,T3,31,2,3
P0054,T2,2,2,4
P0055,T2,13,0,1
P0056,T3,70,0,1
P0057,T3,22,0,2
P0058,T2,13,0,1
P0059,T3,44,0,2
P0060,T3,36,2,3
P0061,T3,43,0,1
P0062,T3,18,1,3
P0063,T3,59,2,3
P0064,T3,54,1,2
P0065,T3,27,0,2
P0066,T3,27,0,2
P0067,T3,60,1,2
P0068,T3,72,0,2
P0069,T3,64,1,3
P0070,T3,21,0,1
P0071,T3,20,1,2
P0072,T3,33,0,2
P0073,T3,72,2,3
P0074,T3,64,0,2
P0075,T2,9,1,2
P0076,T3,15,2,3
P0077,T2,12,0,1
P0078,T3,1,1,2
P0079,T3,18,1,2
P0080,T3,50,2,3
P0081,T3,8,0,1
P0082,T3,75,2,3
P0083,T3,27,0,2
P0084,T3,76,4,5
P0085,T3,29,2,3
P0086,T3,1,0,1
P0087,T3,58,1,2
P0088,T3,27,2,3
P0089,T3,47,0,1
P0090,T1,2,3,4
P0091,T3,21,0,1
P0092,T3,41,1,2
P0093,T3,9,0,2
P0094,T3,11,0,2
P0095,T2,18,0,2
P0096,T3,63,2,3
P0097,T3,58,0,1
P0098,T3,37,3,4
P0099,T2,24,0,2
P0100,T3,18,1,3
P0101,T3,9,2,3
P0102,T3,36,0,2
P0103,T3,38,3,4
P0104,T3,60,3,5
P0105,T3,7,1,3
P0106,T3,7,2,3
P0107,T3,3,1,2
P0108,T2,9,1,2
P0109,T3,60,4,5
P0110,T3,60,2,5
P0111,T3,72,0,2
P0112,T3,34,2,3
P0113,T3,47,0,1
P0114,T3,72,2,3
P0115,T2,23,0,2
P0116,T3,27,0,2
P0117,T3,17,1,2
P0118,T3,62,1,2
P0119,T3,40,2,3
P0120,T2,15,2,3
P0121,T3,47,3,4
P0122,T3,55,2,3
P0123,T3,67,2,4
P0124,T3,70,0,1
P0125,T3,49,2,3
P0126,T2,13,0,1
P0127,T3,8,1,2
P0128,T2,11,3,4
P0129,T2,19,3,4
P0130,T2,2,3,4
P0131,T3,72,2,3
P0132,T2,18,0,2
P0133,T2,4,1,3
P0134,T3,59,0,2
P0135,T3,40,2,3
P0136,T3,61,2,3
P0137,T3,45,0,1
P0138,T3,7,0,1
P0139,T3,73,2,4
P0140,T3,65,0,1
P0141,T3,72,2,3
P0142,T3,27,2,3
P0143,T2,4,1,3
P0144,T2,3,3,4
P0145,T2,15,1,2
P0146,T3,3,0,1
P0147,T3,7,0,1
P0148,T3,70,0,1
P0149,T3,32,3,4
P0150,T3,11,1,2
P0151,T3,47,0,1
P0152,T3,76,1,2
P0153,T3,33,2,3
P0154,T3,29,2,3
P0155,T3,19,1,2
P0156,T3,40,2,3
P0157,T3,8,1,2
P0158,T3,47,0,1
P0159,T3,69,0,1
P0160,T3,61,2,3
P0161,T2,1,1,2
P0162,T3,24,2,3
P0163,T3,32,3,4
P0164,T3,73,2,4
P0165,T2,22,4,5
P0166,T3,42,0,1
P0167,T2,12,1,3
P0168,T3,74,1,2
P0169,T2,9,0,1
P0170,T2,3,3,4
P0171,T3,4,1,2
P0172,T3,19,0,1
P0173,T3,56,2,3
P0174,T3,12,0,1
P0175,T2,18,2,3
P0176,T3,7,1,3
P0177,T2,1,0,2
P0178,T3,54,1,2
P0179,T3,48,2,3
P0180,T3,59,1,2
P0181,T2,4,1,3
P0182,T2,16,3,4
P0183,T3,67,1,4
P0184,T3,36,0,2
P0185,T3,4,1,2
P0186,T3,47,0,1
P0187,T3,33,2,3
P0188,T2,23,0,3
P0189,T3,76,4,5
P0190,T3,72,2,3
P0191,T3,53,0,1
P0192,T3,15,0,1
P0193,T3,11,0,2
P0194,T3,1,1,2
P0195,T3,34,2,3
P0196,T3,76,2,4
P0197,T3,36,2,3
P0198,T2,23,3,4
P0199,T3,40,0,1
P0200,T3,32,3,4
P0201,T3,16,1,2
P0202,T3,63,2,3
P0203,T3,70,0,1
P0204,T3,59,2,3
P0205,T3,12,1,2
P0206,T3,33,0,2
P0207,T3,74,1,2
P0208,T3,37,3,4
P0209,T3,70,0,1
P0210,T3,58,1,2
P0211,T3,60,1,2
P0212,T2,2,1,3
P0213,T2,15,0,1
P0214,T2,13,0,1
P0215,T3,24,0,2
P0216,T3,21,0,1
P0217,T3,73,2,4
P0218,T3,75,2,3
P0219,T1,2,3,4
P0220,T3,64,1,3
P0221,T3,72,0,1
P0222,T3,15,0,1
P0223,T3,3,1,2
P0224,T2,16,3,4
P0225,T3,63,1,2
P0226,T3,74,0,1
P0227,T3,51,0,2
P0228,T3,9,0,2
P0229,T2,6,0,2
P0230,T1,1,0,2
P0231,T3,8,1,2
P0232,T2,13,1,2
P0233,T3,7,2,3
P0234,T2,17,1,3
P0235,T3,9,2,3
P0236,T3,19,1,2
P0237,T3,25,1,2
P0238,T3,49,0,1
P0239,T3,14,0,1
P0240,T3,35,0,2
P0241,T2,7,0,1
P0242,T3,31,3,4
P0243,T2,2,3,4
P0244,T3,47,0,1
P0245,T3,53,0,1
P0246,T2,19,3,4
P0247,T3,14,0,1
P0248,T3,71,2,3
P0249,T3,2,0,1
P0250,T3,46,1,2
P0251,T3,19,1,2
P0252,T3,1,0,1
P0253,T3,7,0,1
P0254,T3,70,0,1
P0255,T2,19,0,2
P0256,T3,48,2,3
P0257,T3,63,0,1
P0258,T3,48,2,3
P0259,T3,64,0,2
P0260,T3,40,0,1
P0261,T3,58,1,2
P0262,T3,58,1,2
P0263,T3,37,1,2
P0264,T3,76,4,5
P0265,T3,40,2,3
P0266,T3,9,0,2
P0267,T3,35,0,2
P0268,T2,13,0,1
P0269,T3,12,0,2
P0270,T3,49,1,2
P0271,T3,71,2,3
P0272,T2,7,0,1
P0273,T2,16,3,4
P0274,T3,40,2,3
P0275,T2,1,0,1
P0276,T2,16,1,3
P0277,T3,42,1,2
P0278,T3,59,2,3
P0279,T2,2,1,3
P0280,T3,7,1,3
P0281,T3,16,1,2
P0282,T1,2,3,4
P0283,T3,67,1,4
P0284,T3,12,0,1
P0285,T3,65,1,3
P0286,T3,71,2,3
P0287,T1,2,1,3
P0288,T3,15,0,1
P0289,T2,7,0,1
P0290,T3,19,1,2
P0291,T3,54,2,3
P0292,T2,3,3,4
P0293,T3,12,0,1
P0294,T3,41,0,1
P0295,T3,20,1,2
P0296,T3,65,1,3
P0297,T3,72,2,3
P0298,T3,72,0,2
P0299,T3,69,0,1
P0300,T3,70,0,1
P0301,T3,29,2,3
P0302,T3,54,2,3
P0303,T3,43,0,1
P0304,T3,11,0,2
P0305,T3,27,0,2
P0306,T3,69,0,1
P0307,T2,15,0,1
P0308,T3,70,1,2
P0309,T3,37,1,2
P0310,T3,70,1,3
P0311,T3,71,0,1
P0312,T3,27,2,3
P0313,T3,41,1,2
P0314,T3,24,2,3
P0315,T3,40,1,2
P0316,T2,5,3,4
P0317,T3,62,1,2
P0318,T3,56,2,3
P0319,T3,3,1,2
P0320,T3,23,0,2
P0321,T3,14,2,3
P0322,T3,56,2,3
P0323,T3,57,0,1
P0324,T3,38,2,4
P0325,T3,76,4,5
P0326,T3,51,0,2
P0327,T3,59,2,3
P0328,T2,16,1,3
P0329,T3,67,2,4
P0330,T3,40,0,1
P0331,T3,7,1,3
P0332,T2,9,0,1
P0333,T3,36,2,3
P0334,T2,13,1,2
P0335,T3,76,2,4
P0336,T3,40,1,2
P0337,T3,63,2,3
P0338,T3,49,0,1
P0339,T3,54,2,3
P0340,T3,15,2,3
P0341,T3,67,1,4
P0342,T3,13,2,3
P0343,T3,47,3,4
P0344,T2,20,0,1
P0345,T3,2,1,2
P0346,T3,74,1,2
P0347,T2,9,0,1
P0348,T3,7,2,3
P0349,T3,36,0,2
P0350,T3,2,0,1
P0351,T1,2,3,4
P0352,T3,29,2,3
P0353,T2,16,3,4
P0354,T3,4,1,2
P0355,T3,15,2,3
P0356,T3,40,1,2
P0357,T2,11,0,2
P0358,T3,31,2,3
P0359,T3,59,2,3
P0360,T3,42,1,2
P0361,T3,27,2,3
P0362,T3,27,2,3
P0363,T3,7,1,3
P0364,T3,76,4,5
P0365,T2,5,0,1
P0366,T3,37,1,2
P0367,T3,65,0,1
P0368,T3,65,0,3
P0369,T3,24,0,2
P0370,T3,43,1,2
P0371,T3,7,0,1
P0372,T2,17,3,4
P0373,T3,50,2,3
P0374,T3,69,1,2
P0375,T2,12,0,1
P0376,T3,71,0,1
P0377,T3,51,0,2
P0378,T3,52,2,3
P0379,T3,56,0,3
P0380,T3,14,2,3
P0381,T3,58,1,2
P0382,T3,7,0,1
P0383,T2,22,2,4
P0384,T3,40,2,3
P0385,T3,49,0,1
P0386,T3,66,0,2
P0387,T3,21,0,1
P0388,T3,24,0,2
P0389,T3,50,2,3
P0390,T2,24,0,2
P0391,T3,38,3,4
P0392,T3,22,1,2
P0393,T3,47,0,1
P0394,T3,71,0,1
P0395,T2,12,0,1
P0396,T3,64,0,2
P0397,T3,47,3,4
P0398,T3,55,2,3
P0399,T3,49,0,1
P0400,T3,74,1,2
P0401,T3,24,0,2
P0402,T3,8,0,1
P0403,T2,8,2,3
P0404,T3,27,0,2
P0405,T3,42,1,2
P0406,T2,9,1,2
P0407,T3,73,2,4
P0408,T3,4,1,2
P0409,T3,12,0,2
P0410,T2,15,0,1
P0411,T2,3,3,4
P0412,T3,59,2,3
P0413,T3,34,2,3
P0414,T3,11,0,2
P0415,T3,71,0,1
P0416,T2,1,2,3
P0417,T2,6,0,2
P0418,T3,45,0,1
P0419,T3,34,0,2
P0420,T3,76,4,5
P0421,T3,2,0,1
P0422,T2,24,0,2
P0423,T2,1,0,1
P0424,T3,47,3,4
P0425,T3,37,3,4
P0426,T3,40,1,2
P0427,T2,13,1,2
P0428,T3,29,0,2
P0429,T3,27,2,3
P0430,T2,5,0,1
P0431,T3,8,1,2
P0432,T3,59,2,3
P0433,T2,15,0,1
P0434,T3,37,1,2
P0435,T3,24,0,2
P0436,T3,2,0,1
P0437,T2,1,1,2
P0438,T3,71,0,1
P0439,T3,45,1,2
P0440,T3,2,0,1
P0441,T2,3,3,4
P0442,T2,10,0,1
P0443,T3,37,3,4
P0444,T3,47,3,4
P0445,T3,7,0,1
P0446,T3,36,0,2
P0447,T2,13,1,2
P0448,T3,20,0,1
P0449,T3,69,0,1
P0450,T3,15,0,1
P0451,T3,27,0,2
P0452,T3,11,2,3
P0453,T2,6,0,2
P0454,T3,62,0,1
P0455,T3,64,0,1
P0456,T3,71,0,1
P0457,T2,5,3,4
P0458,T3,2,0,1
P0459,T3,4,0,1
P0460,T2,13,0,1
P0461,T3,54,2,3
P0462,T3,36,0,2
P0463,T3,13,2,3
P0464,T3,8,1,2
P0465,T3,37,0,1
P0466,T3,76,2,4
P0467,T3,42,0,1
P0468,T2,23,3,4
P0469,T3,40,2,3
P0470,T2,23,0,3
P0471,T3,76,4,5
P0472,T3,7,0,1
P0473,T3,58,1,2
P0474,T3,25,1,2
P0475,T2,20,0,2
P0476,T3,13,0,1
P0477,T3,51,2,3
P0478,T3,37,3,4
P0479,T2,11,0,2
P0480,T3,22,0,2
P0481,T3,27,2,3
P0482,T2,1,0,1
P0483,T3,33,2,3
P0484,T3,13,0,1
P0485,T3,73,2,3
P0486,T3,45,1,2
P0487,T2,24,2,5
P0488,T3,20,2,3
P0489,T3,63,1,2
P0490,T3,23,0,2
P0491,T3,13,2,3
P0492,T3,2,0,1
P0493,T2,20,0,1
P0494,T3,76,2,4
P0495,T2,18,2,3
P0496,T3,24,0,2
P0497,T3,49,2,3
P0498,T3,2,1,2
P0499,T2,15,0,1
P0500,T2,5,3,4
P0501,T3,74,0,2
P0502,T3,36,0,2
P0503,T3,40,2,3
P0504,T3,19,1,2
P0505,T3,11,0,2
P0506,T3,34,2,3
P0507,T2,22,2,4
P0508,T3,22,2,3
P0509,T3,67,1,2
P0510,T3,9,0,2
P0511,T3,11,0,2
P0512,T3,8,0,1
P0513,T3,12,0,2
P0514,T3,67,2,4
P0515,T2,1,2,3
P0516,T3,40,1,2
P0517,T2,5,3,4
P0518,T2,3,3,4
P0519,T3,51,0,2
P0520,T2,18,0,2
P0521,T3,11,0,2
P0522,T3,11,0,2
P0523,T3,37,3,4
